index,Title,Gross,1st-100-Relative-Date,1st-0,1st-1,1st--2,1st--3,2nd-100-Relative-Date,2nd-0,2nd-1,2nd-2,2nd-3
192,madeo,,2018-07-31,20705.0,18634.0,12837.0,10766.0,,,,,
193,m.s. dhoni  the untold story,,2016-09-30,,,,,,,,,
194,me and earl and the dying girl,,2015-08-31,272200.0,95270.0,225926.0,201428.0,,,,,
195,miracle in cell no.7,,2014-06-30,8500.0,6460.0,3400.0,3485.0,,,,,
196,les diaboliques,,2020-02-29,14025.0,1823.0,1683.0,1683.0,,,,,
197,leviafan,,2014-12-31,35900.0,6103.0,4308.0,2513.0,,,,,
198,lifeboat,,2015-07-31,120400.0,89096.0,89096.0,65016.0,,,,,
199,marriage story,,2019-11-30,1146900.0,206442.0,80283.0,45876.0,,,,,
200,le locataire,,2016-10-31,40054.0,21629.0,18024.0,16422.0,,,,,
201,metropolis,,2010-01-31,1782312.0,1711020.0,1657550.0,1550611.0,,,,,
202,la strada,,2019-09-30,428746.0,300122.0,192935.0,192935.0,,,,,
203,mommy,,2015-07-31,1458366.0,1137526.0,962522.0,1064607.0,,,,,
204,misery,,2010-08-31,987038.0,967297.0,779760.0,384944.0,,,,,
205,miracle on 34th street,,2017-11-30,237850.0,45191.0,9514.0,7135.0,,,,,
206,la vita è bella,,2012-12-31,158827.0,46059.0,30177.0,30177.0,,,,,
207,mr. nobody,,2010-06-30,55957.0,36931.0,12870.0,12870.0,,,,,
208,la piel que habito,,2011-08-31,290100.0,124743.0,20307.0,14505.0,,,,,
209,midnight in paris,,2011-11-30,550385.0,319223.0,462324.0,335735.0,,,,,
210,lion,,2019-06-30,17819851.0,7484337.0,5702352.0,6236948.0,,,,,
211,logan,,2017-02-28,17478645.0,5418379.0,3495729.0,2971369.0,,,,,
212,manbiki kazoku,,2018-12-31,33000.0,21450.0,6930.0,4950.0,,,,,
213,mulan,,2020-08-31,5647885.0,1411971.0,960140.0,903661.0,,,,,
214,minority report,,2015-08-31,431566.0,237361.0,86313.0,86313.0,,,,,
215,moneyball,,2011-12-31,1196000.0,813280.0,562120.0,765440.0,,,,,
216,mandariinid,,2014-12-31,20000.0,8000.0,2000.0,2000.0,,,,,
217,mad max  fury road,,2015-04-30,,,,,,,,,
218,mad max 2,,2015-04-30,533780.0,74729.0,37364.0,32026.0,,,,,
219,lawrence of arabia,,2013-11-30,118179.0,29544.0,27181.0,31908.0,,,,,
220,life of pi,,2012-11-30,3011433.0,2017660.0,361372.0,180686.0,,,,,
221,lethal weapon,,2018-04-30,820791.0,393980.0,402187.0,459643.0,,,,,
222,kung fu,,2011-05-31,5039023.0,2569902.0,1259755.0,1259755.0,,,,,
223,jojo rabbit,,2020-01-31,3604200.0,2847318.0,756882.0,1261470.0,,,,,
224,knives out,,2019-11-30,3736300.0,1531883.0,149452.0,186815.0,,,,,
225,little women,,2019-12-31,3074066.0,2090365.0,368888.0,245925.0,,,,,
226,la double vie de véronique,,2017-03-31,0.0,0.0,0.0,0.0,,,,,
227,just mercy,,2019-12-31,1049800.0,262450.0,52490.0,31494.0,,,,,
228,la la land,,2016-12-31,7673150.0,2148482.0,306926.0,153463.0,,,,,
229,koe no katachi,,2017-04-30,580200.0,191466.0,150852.0,133446.0,,,,,
230,kahaani,,2016-11-30,,,,,,,,,
231,joker,,2019-09-30,27528800.0,7157488.0,3028168.0,2202304.0,,,,,
232,mary poppins,,2018-11-30,3779325.0,755865.0,453519.0,529105.0,,,,,
233,kick-ass,,2010-03-31,1169300.0,222167.0,105237.0,93544.0,,,,,
234,joyeux noël,,2020-11-30,101700.0,6102.0,2034.0,1017.0,,,,,
235,kis uykusu,,2014-05-31,23850.0,17887.0,238.0,238.0,,,,,
236,kubo and the two strings,,2016-08-31,590600.0,537446.0,41342.0,11812.0,,,,,
237,la grande bellezza,,2014-02-28,1653700.0,330740.0,578795.0,231518.0,,,,,
238,kokuhaku,,2011-01-31,17262.0,10184.0,5351.0,5351.0,,,,,
239,jurassic park,,2015-05-31,6325391.0,1518094.0,1012062.0,822300.0,,,,,
240,knockin on heavens door,,2013-08-31,33816.0,32802.0,30773.0,28067.0,,,,,
241,kaze tachinu,,2013-08-31,56133.0,48274.0,38732.0,15717.0,,,,,
242,its a wonderful life,,2011-11-30,259633.0,51926.0,20770.0,18174.0,,,,,
243,isle of dogs,,2018-03-31,1352750.0,730485.0,135275.0,54110.0,,,,,
244,la migliore offerta,,2012-12-31,307300.0,15365.0,3073.0,0.0,,,,,
245,interstellar,,2014-10-31,13634200.0,1363420.0,409026.0,272684.0,,,,,
246,inception,,2010-06-30,11969333.0,718160.0,478773.0,119693.0,,,,,
247,iron man,,2013-04-30,10676777.0,7260208.0,2775962.0,2348891.0,,,,,
248,jfk,,2013-10-31,5338938.0,1548292.0,1334734.0,1441513.0,,,,,
249,kingsman  the secret service,,2015-01-31,478100.0,90839.0,23905.0,14343.0,,,,,
250,inside out,,2015-06-30,,,,,,,,,
251,jaws,,2015-06-30,660024.0,607222.0,462017.0,402615.0,,,,,
252,jodaeiye nader az simin,,2011-12-31,14200.0,8946.0,7100.0,9372.0,,,,,
253,jagten,,2012-12-31,40992.0,25415.0,24595.0,11477.0,,,,,
254,incredibles 2,,2018-05-31,5016000.0,451440.0,250800.0,150480.0,,,,,
255,kimi no na wa.,,2016-08-31,0.0,0.0,0.0,0.0,,,,,
256,il buono  il brutto  il cattivo,,2012-04-30,46364.0,18082.0,15300.0,17618.0,,,,,
257,in a lonely place,,2011-12-31,18971.0,14418.0,8537.0,11762.0,,,,,
258,hidden figures,,2016-12-31,3095633.0,526257.0,61912.0,30956.0,,,,,
259,hunt for the wilderpeople,,2016-08-31,187962.0,103379.0,178564.0,101499.0,,,,,
260,heat,,2013-05-31,14651215.0,9230265.0,6300022.0,7765144.0,,,,,
261,hamilton,,2020-06-30,18166006.0,7266402.0,6358102.0,5813121.0,,,,,
262,haider,,2014-09-30,3187355.0,701218.0,478103.0,382482.0,,,,,
263,gully boy,,2019-01-31,1694100.0,321879.0,0.0,0.0,,,,,
264,hævnen,,2011-02-28,81100.0,69746.0,50282.0,9732.0,,,,,
265,high noon,,2020-05-31,168129.0,94152.0,53801.0,50438.0,,,,,
266,harvey,,2017-07-31,20371988.0,3870677.0,4481837.0,4074397.0,,,,,
267,harry potter and the deathly hallows  part 2,,2011-06-30,,,,,,,,,
268,how to train your dragon,,2014-05-31,3848150.0,885074.0,654185.0,500259.0,,,,,
269,hedwig and the angry inch,,2014-05-31,118159.0,44900.0,59079.0,25995.0,,,,,
270,hell or high water,,2016-08-31,793133.0,380704.0,23794.0,7931.0,,,,,
271,i  daniel blake,,2016-09-30,99500.0,7960.0,2985.0,3980.0,2016-10-31,99500.0,99500.0,7960.0,2985.0
272,groundhog day,,2017-01-31,2222866.0,333430.0,155600.0,88914.0,,,,,
273,how to train your dragon 2,,2014-05-31,2485800.0,497160.0,323154.0,223722.0,,,,,
274,hacksaw ridge,,2016-10-31,,,,,,,,,
275,hera pheri,,2018-09-30,371000.0,367290.0,319060.0,255990.0,,,,,
276,gandhi,,2018-09-30,4479009.0,2956146.0,2642615.0,2463455.0,,,,,
277,harry potter and the deathly hallows  part 1,,2011-06-30,490600.0,112838.0,88308.0,186428.0,,,,,
278,frankenstein,,2014-01-31,1223809.0,1199332.0,501761.0,587428.0,,,,,
279,green book,,2019-01-31,4346516.0,2042862.0,956233.0,782373.0,,,,,
280,fargo,,2015-11-30,,,,,,,,,
281,get out,,2017-02-28,7628103.0,5644796.0,3203803.0,3127522.0,,,,,
282,ghostbusters,,2016-06-30,6203028.0,1364666.0,930454.0,620302.0,,,,,
283,guardians of the galaxy vol. 2,,2017-04-30,569500.0,119595.0,17085.0,17085.0,,,,,
284,good will hunting,,2014-07-31,881042.0,96914.0,96914.0,96914.0,,,,,
285,giù la testa,,2010-11-30,15633.0,6878.0,4690.0,2501.0,,,,,
286,edge of tomorrow,,2014-05-31,2703933.0,594865.0,108157.0,108157.0,,,,,
287,giant,,2020-04-30,7648327.0,6730527.0,5659762.0,4741962.0,,,,,
288,gravity,,2013-09-30,9989077.0,4095521.0,2996723.0,2697050.0,,,,,
289,guess whos coming to dinner,,2016-10-31,21960.0,9442.0,5929.0,6368.0,,,,,
290,gilda,,2016-08-31,598752.0,347276.0,185613.0,167650.0,,,,,
291,gone with the wind,,2020-05-31,500639.0,160204.0,130166.0,120153.0,,,,,
292,glengarry glen ross,,2012-11-30,65937.0,51430.0,48134.0,40221.0,,,,,
293,gisaengchung,,2020-01-31,43300.0,34640.0,19052.0,14289.0,,,,,
294,gone girl,,2014-09-30,5022720.0,904089.0,301363.0,351590.0,,,,,
295,en man som heter ove,,2015-12-31,27915.0,25123.0,3628.0,2791.0,,,,,
296,drive,,2020-02-29,37867351.0,33323269.0,29915207.0,29157860.0,,,,,
