index,Title,Gross,1st-100-Relative-Date,1st-0,1st-1,1st--2,1st--3,2nd-100-Relative-Date,2nd-0,2nd-1,2nd-2,2nd-3
371,blade runner 2049,,2017-09-30,4987983.0,748197.0,149639.0,149639.0,,,,,
372,argo,,2013-01-31,3553636.0,1847891.0,1030554.0,1847891.0,,,,,
373,call me by your name,,2018-02-28,1878800.0,1371524.0,1766072.0,1052128.0,,,,,
374,badhaai ho,,2018-10-31,554533.0,343810.0,16636.0,0.0,,,,,
375,apocalypse now,,2019-02-28,295568.0,156651.0,133005.0,121183.0,,,,,
376,bhaag milkha bhaag,,2013-06-30,1285300.0,192795.0,25706.0,0.0,,,,,
377,ben-hur,,2016-07-31,663500.0,33175.0,19905.0,13270.0,,,,,
378,andaz apna apna,,2014-03-31,39688.0,30956.0,23416.0,33338.0,2017-02-28,39688.0,36513.0,39291.0,37703.0
379,andhadhun,,2018-09-30,818966.0,32758.0,0.0,0.0,,,,,
380,boyz n the hood,,2015-07-31,159495.0,63798.0,49443.0,43063.0,,,,,
381,beasts of no nation,,2015-09-30,362400.0,50736.0,10872.0,10872.0,,,,,
382,avengers  endgame,,2019-03-31,15310100.0,2602717.0,612404.0,612404.0,,,,,
383,blue velvet,,2012-08-31,162189.0,79473.0,81094.0,82716.0,,,,,
384,bajrangi bhaijaan,,2015-06-30,7252500.0,870300.0,362625.0,72525.0,,,,,
385,baby,,2013-06-30,57498226.0,47723528.0,45423599.0,39673776.0,,,,,
386,anand,,2018-04-30,1716110.0,840894.0,720766.0,669283.0,,,,,
387,arrival,,2016-10-31,3394719.0,848679.0,848679.0,780785.0,,,,,
388,back to the future part ii,,2015-09-30,17810.0,3027.0,2137.0,2493.0,,,,,
389,blade runner,,2017-09-30,7821160.0,1407808.0,391058.0,391058.0,,,,,
390,before midnight,,2013-05-31,552000.0,231840.0,77280.0,55200.0,,,,,
391,baahubali 2  the conclusion,,2017-04-30,155200.0,68288.0,7760.0,3104.0,,,,,
392,being john malkovich,,2020-07-31,50173.0,18564.0,32111.0,17560.0,,,,,
393,black,,2018-10-31,141009315.0,73324843.0,69094564.0,64864285.0,,,,,
394,avengers  infinity war,,2018-03-31,7988200.0,1677522.0,639056.0,399410.0,,,,,
