Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director,Corrected_Gross
the fighter,2010,UA,116 min,"Biography, Drama, Sport",7.8,79.0,david o. russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584,93617009,1736950,178779,47200,125644264
star trek into darkness,2013,UA,132 min,"Action, Adventure, Sci-Fi",7.7,72.0,j.j. abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,463188,228778661,1722100,308537,75000,287405911
whiplash,2014,A,106 min,"Drama, Music",8.5,88.0,damien chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,13092000,1712509,107440,268750,16184438
gully boy,2019,UA,154 min,"Drama, Music, Romance",8.0,65.0,zoya akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886,5566534,1694100,213654,39984,6372107
gifted,2017,PG-13,101 min,Drama,7.6,60.0,marc webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,99643,24801212,1653075,351233,22000,29610797
wonder,2017,U,113 min,"Drama, Family",8.0,66.0,stephen chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923,132422809,1578000,83816,20725,158102958
about time,2013,R,123 min,"Comedy, Drama, Fantasy",7.8,55.0,richard curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,15322921,1498740,120514,52712,19249601
wind river,2017,R,107 min,"Crime, Drama, Mystery",7.7,73.0,taylor sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones,205444,33800859,1463637,655404,317065,40355704
pink,2016,UA,136 min,"Drama, Thriller",8.1,,aniruddha roy chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,39216,1241223,1452671,416495,9316,1513498
boyhood,2014,A,165 min,Drama,7.9,100.0,richard linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533,25379975,1433500,94944,103422,31374934
english vinglish,2012,U,134 min,"Comedy, Drama, Family",7.8,,gauri shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618,1670773,1373600,120668,22300,2129672
isle of dogs,2018,U,101 min,"Animation, Adventure, Comedy",7.9,82.0,wes anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,139114,32015231,1352750,117857,448724,37312450
manchester by the sea,2016,UA,137 min,Drama,7.8,96.0,kenneth lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,47695120,1344506,176434,22940,58157534
moonrise kingdom,2012,A,94 min,"Comedy, Drama, Romance",7.8,84.0,wes anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,45512466,1298850,249286,448724,58013061
bhaag milkha bhaag,2013,U,186 min,"Biography, Drama, Sport",8.2,,rakeysh omprakash mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,61137,1626289,1285300,147809,19240,2043044
vicky donor,2012,UA,126 min,"Comedy, Romance",7.8,,shoojit sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710,169209,1279200,75582,4271,215684
captain america  the winter soldier,2014,UA,136 min,"Action, Adventure, Sci-Fi",7.7,70.0,anthony russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,736182,259766572,1272400,363084,16692,321125583
nightcrawler,2014,A,117 min,"Crime, Drama, Thriller",7.9,76.0,dan gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,466134,32381218,1209600,326216,7533,40029929
moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",7.6,87.0,bennett miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,369529,75605492,1196000,384383,56200,98365891
mommy,2014,R,139 min,Drama,8.1,74.0,xavier dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700,3492754,1181277,104179,202300,4317771
kick-ass,2010,UA,117 min,"Action, Comedy, Crime",7.6,66.0,matthew vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,524081,48071303,1169300,176205,77100,64516946
queen,2013,UA,146 min,"Adventure, Comedy, Drama",8.2,,vikas bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,60701,1429534,1153892,423208,199250,1795869
